,SOURCE,TARGET,VOTE,RESULT
1698,Connormah,Paulmcdonald,1,1
1699,Tyrol5,Paulmcdonald,1,1
1700,Doctree,Paulmcdonald,1,1
1701,WereSpielChequers,Paulmcdonald,1,1
1702,DrumstickJuggler,Paulmcdonald,-1,1
1703,Kiefer.Wolfowitz,Paulmcdonald,-1,1
1704,Scottywong,Paulmcdonald,-1,1
1705,Secret,Paulmcdonald,-1,1
1706,avriette,Paulmcdonald,-1,1
1707,Nathan Johnson,Paulmcdonald,-1,1
1708,Stfg,Paulmcdonald,-1,1
1709,My76Strat,Paulmcdonald,-1,1
1710,Tucoxn,Paulmcdonald,0,1
1711,Chick Bowen,Paulmcdonald,0,1
1712,Bagumba,Paulmcdonald,0,1
1713,Floquenbeam,RockMagnetist,1,1
1714,Go Phightins!,RockMagnetist,1,1
1715,Iselilja,RockMagnetist,1,1
1716,NintendoFan,RockMagnetist,1,1
1717,Tazerdadog,RockMagnetist,1,1
1718,AutomaticStrikeout,RockMagnetist,1,1
1719,Stfg,RockMagnetist,1,1
1720,Alanscottwalker,RockMagnetist,1,1
1721,LadyofShalott,RockMagnetist,1,1
1722,INeverCry,RockMagnetist,1,1
1723,Keilana,RockMagnetist,1,1
1724,EdJohnston,RockMagnetist,1,1
1725,Colonel Warden,RockMagnetist,1,1
1726,Reaper Eternal,RockMagnetist,1,1
1727,LlamaAl,RockMagnetist,1,1
1728,SlimVirgin,RockMagnetist,1,1
1729,GiantSnowman,RockMagnetist,1,1
1730,Kablammo,RockMagnetist,1,1
1731,Dainomite,RockMagnetist,1,1
1732,Guy Macon,RockMagnetist,1,1
1733,WereSpielChequers,RockMagnetist,1,1
1734,KTC,RockMagnetist,1,1
1735,Razionale,RockMagnetist,1,1
1736,Starblind,RockMagnetist,1,1
1737,Amorymeltzer,RockMagnetist,1,1
1738,Widr,RockMagnetist,1,1
1739,Kurtis,RockMagnetist,1,1
1740,Mr. Stradivarius,RockMagnetist,1,1
1741,Webclient101,RockMagnetist,1,1
1742,Nyttend,RockMagnetist,1,1
1743,Mediran,RockMagnetist,1,1
1744,Cncmaster,RockMagnetist,1,1
1745,MONGO,RockMagnetist,1,1
1746,Stalwart111,RockMagnetist,1,1
1747,I am One of Many,RockMagnetist,1,1
1748,,RockMagnetist,1,1
1749,Morning Sunshine,RockMagnetist,1,1
1750,Staberinde,RockMagnetist,1,1
1751,Peridon,RockMagnetist,1,1
1752,Torreslfchero,RockMagnetist,1,1
1753,Boing! said Zebedee,RockMagnetist,1,1
1754,Secret,RockMagnetist,1,1
1755,B,RockMagnetist,1,1
1756,Kraxler,RockMagnetist,1,1
1757,A7x,RockMagnetist,1,1
1758,Fox Wilson,RockMagnetist,1,1
1759,Fluffernutter,RockMagnetist,1,1
1760,Pharaoh of the Wizards,RockMagnetist,1,1
1761,TCO,RockMagnetist,1,1
1762,Stephen,RockMagnetist,1,1
1763,Casliber,RockMagnetist,1,1
1764,Miniapolis,RockMagnetist,1,1
1765,Ducknish,RockMagnetist,1,1
1766,Someguy1221,RockMagnetist,1,1
1767,Sparklism,RockMagnetist,1,1
1768,Dennis Brown,RockMagnetist,1,1
1769,Mrt3366,RockMagnetist,1,1
1770,Yunshui,RockMagnetist,1,1
1771,Brookie,RockMagnetist,1,1
1772,MrX,RockMagnetist,1,1
1773,Joe Decker,RockMagnetist,1,1
1774,Tryptofish,RockMagnetist,1,1
1775,Tyrol5,RockMagnetist,1,1
1776,Wizardman,RockMagnetist,1,1
1777,Pratyya Ghosh,RockMagnetist,1,1
1778,Guerillero,RockMagnetist,1,1
1779,Scray,RockMagnetist,1,1
1780,Jebus989,RockMagnetist,1,1
1781,WhatamIdoing,RockMagnetist,1,1
1782,Kierzek,RockMagnetist,1,1
1783,RayAYang,RockMagnetist,1,1
1784,Nathan Johnson,RockMagnetist,1,1
1785,Spencer,RockMagnetist,1,1
1786,Cullen328,RockMagnetist,1,1
1787,Dirtlawyer1,RockMagnetist,1,1
1788,Wikiwind,RockMagnetist,1,1
1789,PaleAqua,RockMagnetist,1,1
1790,Adjwilley,RockMagnetist,1,1
1791,Kiefer.Wolfowitz,RockMagnetist,1,1
1792,Chris.urs-o,RockMagnetist,1,1
1793,Graeme Bartlett,RockMagnetist,1,1
1794,TBrandley,RockMagnetist,1,1
1795,Carrite,RockMagnetist,1,1
1796,Cirt,RockMagnetist,1,1
1797,Beagel,RockMagnetist,1,1
1798,Mark Arsten,RockMagnetist,1,1
1799,Bbb23,RockMagnetist,1,1
1800,Binksternet,RockMagnetist,1,1
1801,IRWolfie-,RockMagnetist,1,1
1802,RegentsPark,RockMagnetist,1,1
1803,Rogerd,RockMagnetist,1,1
1804,The ed17,RockMagnetist,1,1
1805,Newyorkbrad,RockMagnetist,1,1
1806,Bill william compton,RockMagnetist,1,1
1807,Plutonium27,RockMagnetist,1,1
1808,Gilderien,RockMagnetist,1,1
1809,Malcolmxl5,RockMagnetist,1,1
1810,Hhhippo,RockMagnetist,1,1
1811,Xxanthippe,RockMagnetist,-1,1
1812,DGG,RockMagnetist,-1,1
1813,Jusdafax,RockMagnetist,-1,1
1814,Steel1943,RockMagnetist,0,1
1815,Rschen7754,Secret,1,1
1816,Hahc21,Secret,1,1
1817,X!,Secret,1,1
1818,Ktr101,Secret,1,1
1819,Σ,Secret,1,1
1820,Legoktm,Secret,1,1
1821,LemonTwinkle,Secret,1,1
1822,Graham87,Secret,1,1
1823,Go Phightins!,Secret,1,1
1824,Anthony Bradbury,Secret,1,1
1825,Wehwalt,Secret,1,1
1826,Marcus Qwertyus,Secret,1,1
1827,Trusilver,Secret,1,1
1828,Dirtlawyer1,Secret,1,1
1829,Dennis Brown,Secret,1,1
1830,Mark Arsten,Secret,1,1
1831,MONGO,Secret,1,1
1832,AutomaticStrikeout,Secret,1,1
1833,Stifle,Secret,1,1
1834,Kurtis,Secret,1,1
1835,Boing! said Zebedee,Secret,1,1
1836,The Blade of the Northern Lights,Secret,1,1
1837,SarekOfVulcan,Secret,1,1
1838,Tryptofish,Secret,1,1
1839,PaleAqua,Secret,1,1
1840,Rogerd,Secret,1,1
1841,Gilderien,Secret,1,1
1842,Stalwart111,Secret,1,1
1843,INeverCry,Secret,1,1
1844,Miniapolis,Secret,1,1
1845,FreeRangeFrog,Secret,1,1
1846,LlamaAl,Secret,1,1
1847,AniMate,Secret,1,1
1848,Zagalejo,Secret,1,1
1849,Mabdul,Secret,1,1
1850,Gerda Arendt,Secret,1,1
1851,Pedro,Secret,1,1
1852,Calmer Waters,Secret,1,1
1853,FiachraByrne,Secret,1,1
1854,RayAYang,Secret,1,1
1855,King of Hearts,Secret,1,1
1856,Inka 888,Secret,1,1
1857,Spencer,Secret,1,1
1858,Ceoil,Secret,1,1
1859,Cncplayer,Secret,1,1
1860,Stfg,Secret,1,1
1861,Torreslfchero,Secret,1,1
1862,TParis,Secret,1,1
1863,Ched,Secret,1,1
1864,Fluffernutter,Secret,1,1
1865,Steven Zhang,Secret,1,1
1866,DeltaQuad,Secret,1,1
1867,Garion96,Secret,1,1
1868,Peridon,Secret,1,1
1869,Paul Erik,Secret,1,1
1870,Casliber,Secret,1,1
1871,Diannaa,Secret,1,1
1872,KrakatoaKatie,Secret,1,1
1873,Shawn in Montreal,Secret,1,1
1874,Herostratus,Secret,1,1
1875,Dainomite,Secret,1,1
1876,A7x,Secret,1,1
1877,Tucoxn,Secret,1,1
1878,Guerillero,Secret,1,1
1879,Wizardman,Secret,1,1
1880,Ks0stm,Secret,1,1
1881,Mr. Stradivarius,Secret,1,1
1882,Bwilkins,Secret,1,1
1883,Morning Sunshine,Secret,1,1
1884,Reaper Eternal,Secret,1,1
1885,Ajraddatz,Secret,1,1
1886,Dlohcierekim,Secret,1,1
1887,Chick Bowen,Secret,1,1
1888,Modernist,Secret,1,1
1889,DCI2026,Secret,1,1
1890,Glrx,Secret,1,1
1891,Garamond Lethe,Secret,1,1
1892,Someguy1221,Secret,1,1
1893,Pratyya Ghosh,Secret,1,1
1894,7,Secret,1,1
1895,Ultraexactzz,Secret,1,1
1896,QuiteUnusual,Secret,1,1
1897,Moe Epsilon,Secret,1,1
1898,SmokeyJoe,Secret,1,1
1899,AuburnPilot,Secret,1,1
1900,Surajt88,Secret,1,1
1901,Hut 8.5,Secret,1,1
1902,Jebus989,Secret,1,1
1903,Coren,Secret,1,1
1904,Cmach7,Secret,1,1
1905,Tikiwont,Secret,1,1
1906,GabeMc,Secret,1,1
1907,Silver seren,Secret,1,1
1908,Kudpung,Secret,1,1
1909,Hobit,Secret,1,1
1910,Rzuwig,Secret,1,1
1911,Kusma,Secret,1,1
1912,Roger Davies,Secret,1,1
1913,Joe Decker,Secret,1,1
1914,FeydHuxtable,Secret,1,1
1915,Starblind,Secret,1,1
1916,Ronhjones,Secret,1,1
1917,Master of Puppets,Secret,1,1
1918,Tazerdadog,Secret,1,1
1919,Kablammo,Secret,1,1
1920,HMSSolent,Secret,1,1
1921,Courcelles,Secret,1,1
1922,Yrtneg,Secret,1,1
1923,Webclient101,Secret,1,1
1924,Tariqabjotu,Secret,-1,1
1925,Riffic,Secret,-1,1
1926,Inks.LWC,Secret,-1,1
1927,Jusdafax,Secret,-1,1
1928,Ldvnsx,Secret,-1,1
1929,Bobrayner,Secret,-1,1
1930,Tony1,Secret,-1,1
1931,Kiefer.Wolfowitz,Secret,-1,1
1932,Sven Manguard,Secret,-1,1
1933,GiantSnowman,Secret,-1,1
1934,Staberinde,Secret,-1,1
1935,It Is Me Here,Secret,-1,1
1936,Nathan Johnson,Secret,-1,1
1937,Intothatdarkness,Secret,-1,1
1938,Skinwalker,Secret,-1,1
1939,JayJay,Secret,-1,1
1940,Swarm,Secret,-1,1
1941,Binksternet,Secret,-1,1
1942,Leaky caldron,Secret,-1,1
1943,TUXLIE,Secret,-1,1
1944,Jayen466,Secret,-1,1
1945,Rockfang,Secret,-1,1
1946,Nathan,Secret,-1,1
1947,Keepscases,Secret,-1,1
1948,Epeefleche,Secret,-1,1
1949,And Adoil Descended,Secret,-1,1
1950,SheepNotGoats,Secret,-1,1
1951,Ohconfucius,Secret,-1,1
1952,Colonel Warden,Secret,-1,1
1953,Sergecross73,Secret,-1,1
1954,James086,Secret,-1,1
1955,Mediran,Secret,-1,1
1956,Plutonium27,Secret,-1,1
1957,Danger,Secret,-1,1
1958,Trevj,Secret,-1,1
1959,Foxj,Secret,0,1
1960,Pol430,Secret,0,1
1961,Tyrol5,Secret,0,1
1962,Axl,Secret,0,1
1963,Brambleberry of RiverClan,Secret,0,1
1964,Ypnypn,Secret,0,1
1965,Atama,Secret,0,1
1966,Beeblebrox,Secret,0,1
1967,,Secret,0,1
1968,Bagumba,Secret,0,1
1969,Carrite,Secret,0,1
1970,Worm That Turned,Shirt58,1,1
1971,Yunshui,Shirt58,1,1
1972,Dennis Brown,Shirt58,1,1
1973,Jenks24,Shirt58,1,1
1974,Hahc21,Shirt58,1,1
1975,Widr,Shirt58,1,1
1976,Collect,Shirt58,1,1
1977,Ymblanter,Shirt58,1,1
1978,Pratyya Ghosh,Shirt58,1,1
1979,Rzuwig,Shirt58,1,1
1980,Go Phightins!,Shirt58,1,1
1981,Cabe6403,Shirt58,1,1
1982,CaSJer,Shirt58,1,1
1983,Boing! said Zebedee,Shirt58,1,1
1984,Sparklism,Shirt58,1,1
1985,Kurtis,Shirt58,1,1
1986,Colonel Warden,Shirt58,1,1
1987,Thine Antique Pen,Shirt58,1,1
1988,Carrite,Shirt58,1,1
1989,Pharaoh of the Wizards,Shirt58,1,1
1990,Drmies,Shirt58,1,1
1991,Lectonar,Shirt58,1,1
1992,INeverCry,Shirt58,1,1
1993,Someguy1221,Shirt58,1,1
1994,Carioca,Shirt58,1,1
1995,LadyofShalott,Shirt58,1,1
1996,GiantSnowman,Shirt58,1,1
1997,WikiPuppies,Shirt58,1,1
1998,Tazerdadog,Shirt58,1,1
1999,Ched,Shirt58,1,1
2000,Vacation9,Shirt58,1,1
2001,Inka 888,Shirt58,1,1
2002,I am One of Many,Shirt58,1,1
2003,Spencer,Shirt58,1,1
2004,Cncmaster,Shirt58,1,1
2005,AutomaticStrikeout,Shirt58,1,1
2006,Mrt3366,Shirt58,1,1
2007,Mediran,Shirt58,1,1
2008,Morning Sunshine,Shirt58,1,1
2009,Bibliomaniac15,Shirt58,1,1
2010,Torreslfchero,Shirt58,1,1
2011,CorrectKnowledge,Shirt58,1,1
2012,Stalwart111,Shirt58,1,1
2013,Jebus989,Shirt58,1,1
2014,King of Hearts,Shirt58,1,1
2015,Graham87,Shirt58,1,1
2016,Peridon,Shirt58,1,1
2017,Brookie,Shirt58,1,1
2018,Kierzek,Shirt58,1,1
2019,Bbb23,Shirt58,1,1
2020,Adjwilley,Shirt58,1,1
2021,LlamaAl,Shirt58,1,1
2022,RP459,Shirt58,1,1
2023,Wizardman,Shirt58,1,1
2024,Reaper Eternal,Shirt58,1,1
2025,Nathan Johnson,Shirt58,1,1
2026,Inks.LWC,Shirt58,1,1
2027,WereSpielChequers,Shirt58,1,1
2028,Deb,Shirt58,1,1
2029,A7x,Shirt58,1,1
2030,Axl,Shirt58,1,1
2031,ItsZippy,Shirt58,1,1
2032,Orlady,Shirt58,1,1
2033,Purplebackpack89,Shirt58,1,1
2034,Gogo Dodo,Shirt58,1,1
2035,Starblind,Shirt58,1,1
2036,Ktr101,Shirt58,1,1
2037,Titodutta,Shirt58,1,1
2038,PaleAqua,Shirt58,1,1
2039,IRWolfie-,Shirt58,1,1
2040,SlimVirgin,Shirt58,1,1
2041,Nyttend,Shirt58,1,1
2042,Bgwhite,Shirt58,1,1
2043,Jschnur,Shirt58,1,1
2044,Arctic Kangaroo,Shirt58,1,1
2045,Anna Frodesiak,Shirt58,1,1
2046,Tofutwitch11,Shirt58,1,1
2047,Hut 8.5,Shirt58,1,1
2048,Miniapolis,Shirt58,1,1
2049,Fluffernutter,Shirt58,1,1
2050,Yaksar,Shirt58,1,1
2051,Stephen,Shirt58,1,1
2052,Kudpung,Shirt58,1,1
2053,Brambleberry of RiverClan,Shirt58,1,1
2054,Scray,Shirt58,1,1
2055,MrX,Shirt58,1,1
2056,MelbourneStar,Shirt58,1,1
2057,Mr. Stradivarius,Shirt58,1,1
2058,RegentsPark,Shirt58,1,1
2059,MONGO,Shirt58,1,1
2060,Tryptofish,Shirt58,1,1
2061,DHeyward,Shirt58,1,1
2062,Tyrol5,Shirt58,1,1
2063,Amorymeltzer,Shirt58,1,1
2064,DCI2026,Shirt58,1,1
2065,Secret,Shirt58,1,1
2066,Shadowjams,Shirt58,1,1
2067,Tom Morris,Shirt58,1,1
2068,Scottywong,Shirt58,1,1
2069,Tucoxn,Shirt58,1,1
2070,Jusdafax,Shirt58,1,1
2071,Monty845,Shirt58,1,1
2072,John F. Lewis,Shirt58,1,1
2073,Hawkeye7,Shirt58,1,1
2074,Wikiwind,Shirt58,1,1
2075,WilyD,Shirt58,-1,1
2076,Dream Focus,Shirt58,-1,1
2077,TCO,Shirt58,-1,1
2078,Kiefer.Wolfowitz,Shirt58,-1,1
2079,Stfg,Shirt58,-1,1
2080,B,Shirt58,-1,1
2081,Staberinde,Shirt58,-1,1
2082,IComputerSaysNo,Shirt58,0,1
2083,Retrolord,Shirt58,0,1
2084,Steel1943,Shirt58,0,1
2085,Chick Bowen,Shirt58,0,1
2086,Mr. Stradivarius,Tokyogirl79,1,1
2087,Yunshui,Tokyogirl79,1,1
2088,Boing! said Zebedee,Tokyogirl79,1,1
2089,Stalwart111,Tokyogirl79,1,1
2090,Widr,Tokyogirl79,1,1
2091,Mediran,Tokyogirl79,1,1
2092,Pharaoh of the Wizards,Tokyogirl79,1,1
2093,Bonkers The Clown,Tokyogirl79,1,1
2094,NintendoFan,Tokyogirl79,1,1
2095,Ymblanter,Tokyogirl79,1,1
2096,Ultraexactzz,Tokyogirl79,1,1
2097,Nyttend,Tokyogirl79,1,1
2098,Jenks24,Tokyogirl79,1,1
2099,Dennis Brown,Tokyogirl79,1,1
2100,Reaper Eternal,Tokyogirl79,1,1
2101,Scottywong,Tokyogirl79,1,1
2102,MrX,Tokyogirl79,1,1
2103,Mark Arsten,Tokyogirl79,1,1
2104,Peridon,Tokyogirl79,1,1
2105,Hahc21,Tokyogirl79,1,1
2106,Torreslfchero,Tokyogirl79,1,1
2107,It Is Me Here,Tokyogirl79,1,1
2108,Secret,Tokyogirl79,1,1
2109,Cabe6403,Tokyogirl79,1,1
2110,Ritchie333,Tokyogirl79,1,1
2111,AutomaticStrikeout,Tokyogirl79,1,1
2112,I am One of Many,Tokyogirl79,1,1
2113,RockMagnetist,Tokyogirl79,1,1
2114,Go Phightins!,Tokyogirl79,1,1
2115,Lukeno94,Tokyogirl79,1,1
2116,The Interior,Tokyogirl79,1,1
2117,TCN7JM,Tokyogirl79,1,1
2118,Tazerdadog,Tokyogirl79,1,1
2119,INeverCry,Tokyogirl79,1,1
2120,Stfg,Tokyogirl79,1,1
2121,King of Hearts,Tokyogirl79,1,1
2122,Mabdul,Tokyogirl79,1,1
2123,MichaelQSchmidt,Tokyogirl79,1,1
2124,Joe Decker,Tokyogirl79,1,1
2125,Kilopi,Tokyogirl79,1,1
2126,Kraxler,Tokyogirl79,1,1
2127,SlimVirgin,Tokyogirl79,1,1
2128,Amalthea,Tokyogirl79,1,1
2129,Kurtis,Tokyogirl79,1,1
2130,TBrandley,Tokyogirl79,1,1
2131,DGG,Tokyogirl79,1,1
2132,Starblind,Tokyogirl79,1,1
2133,Ched,Tokyogirl79,1,1
2134,Huon,Tokyogirl79,1,1
2135,FreeRangeFrog,Tokyogirl79,1,1
2136,ZappaOMati,Tokyogirl79,1,1
2137,Marek69,Tokyogirl79,1,1
2138,Gongshow,Tokyogirl79,1,1
2139,Alanscottwalker,Tokyogirl79,1,1
2140,Ktr101,Tokyogirl79,1,1
2141,Chick Bowen,Tokyogirl79,1,1
2142,LlamaAl,Tokyogirl79,1,1
2143,Amorymeltzer,Tokyogirl79,1,1
2144,Webclient101,Tokyogirl79,1,1
2145,Pratyya Ghosh,Tokyogirl79,1,1
2146,Inka 888,Tokyogirl79,1,1
2147,Sjones23,Tokyogirl79,1,1
2148,Titodutta,Tokyogirl79,1,1
2149,Someguy1221,Tokyogirl79,1,1
2150,Sparklism,Tokyogirl79,1,1
2151,Guerillero,Tokyogirl79,1,1
2152,Gareth Griffith-Jones,Tokyogirl79,1,1
2153,Crisco 1492,Tokyogirl79,1,1
2154,Scray,Tokyogirl79,1,1
2155,Morning Sunshine,Tokyogirl79,1,1
2156,Sergecross73,Tokyogirl79,1,1
2157,Jebus989,Tokyogirl79,1,1
2158,Drmies,Tokyogirl79,1,1
2159,GiantSnowman,Tokyogirl79,1,1
2160,Pedro,Tokyogirl79,1,1
2161,Brambleberry of RiverClan,Tokyogirl79,1,1
2162,Fox Wilson,Tokyogirl79,1,1
2163,Kierzek,Tokyogirl79,1,1
2164,Stephen,Tokyogirl79,1,1
2165,Cncmaster,Tokyogirl79,1,1
2166,Knowledgekid87,Tokyogirl79,1,1
2167,Ducknish,Tokyogirl79,1,1
2168,JayJay,Tokyogirl79,1,1
2169,Xxanthippe,Tokyogirl79,1,1
2170,Spencer,Tokyogirl79,1,1
2171,Cullen328,Tokyogirl79,1,1
2172,Vejvančický,Tokyogirl79,1,1
2173,Hawkeye7,Tokyogirl79,1,1
2174,Miniapolis,Tokyogirl79,1,1
2175,Dirtlawyer1,Tokyogirl79,1,1
2176,Wikiwind,Tokyogirl79,1,1
2177,Sandstein,Tokyogirl79,1,1
2178,Epeefleche,Tokyogirl79,1,1
2179,Carrite,Tokyogirl79,1,1
2180,Kiefer.Wolfowitz,Tokyogirl79,1,1
2181,Binksternet,Tokyogirl79,1,1
2182,Chris.urs-o,Tokyogirl79,1,1
2183,Satellizer,Tokyogirl79,1,1
2184,Thumperward,Tokyogirl79,1,1
2185,TParis,Tokyogirl79,1,1
2186,Beagel,Tokyogirl79,1,1
2187,Erik,Tokyogirl79,1,1
2188,Wizardman,Tokyogirl79,1,1
2189,Cirt,Tokyogirl79,1,1
2190,CorrectKnowledge,Tokyogirl79,1,1
2191,Tryptofish,Tokyogirl79,1,1
2192,Location,Tokyogirl79,1,1
2193,Graeme Bartlett,Tokyogirl79,1,1
2194,Beyond My Ken,Tokyogirl79,1,1
2195,Wsiegmund,Tokyogirl79,1,1
2196,Amadscientist,Tokyogirl79,1,1
2197,TheOverflow,Tokyogirl79,1,1
2198,Bwilkins,Tokyogirl79,1,1
2199,Steven Zhang,Tokyogirl79,1,1
2200,Hell in a Bucket,Tokyogirl79,1,1
2201,Cavarrone,Tokyogirl79,1,1
2202,RegentsPark,Tokyogirl79,1,1
2203,Bgwhite,Tokyogirl79,1,1
2204,Staberinde,Tokyogirl79,1,1
2205,Mkdw,Tokyogirl79,1,1
2206,Tyrol5,Tokyogirl79,1,1
2207,The ed17,Tokyogirl79,1,1
2208,Newyorkbrad,Tokyogirl79,1,1
2209,Adjwilley,Tokyogirl79,1,1
2210,Majoreditor,Tokyogirl79,1,1
2211,Deryck Chan,Tokyogirl79,1,1
2212,Northamerica1000,Tokyogirl79,1,1
2213,Rcsprinter123,Tokyogirl79,1,1
2214,Malcolmxl5,Tokyogirl79,1,1
2215,Alf.laylah.wa.laylah,Tokyogirl79,1,1
2216,Rzuwig,Tokyogirl79,1,1
2217,PaleAqua,Tokyogirl79,1,1
2218,DCI2026,Tokyogirl79,1,1
2219,TempName1,Tokyogirl79,1,1
2220,Hullaballoo Wolfowitz,Tokyogirl79,1,1
2221,J04n,Tokyogirl79,1,1
2222,RightCowLeftCoast,Tokyogirl79,1,1
2223,Jayjg,Tokyogirl79,1,1
2224,Ronhjones,Tokyogirl79,1,1
2225,Collect,Tokyogirl79,1,1
2226,Tucoxn,Tokyogirl79,1,1
2227,Bluerasberry,Tokyogirl79,1,1
2228,OlEnglish,Tokyogirl79,1,1
2229,XapApp,Tokyogirl79,1,1
2230,A7x,Tokyogirl79,1,1
2231,Inks.LWC,Tokyogirl79,1,1
2232,Nathan Johnson,Tokyogirl79,-1,1
2233,TCO,Tokyogirl79,-1,1
2234,Madman,West.andrew.g,1,1
2235,Doctree,West.andrew.g,1,1
2236,Ocaasi,West.andrew.g,1,1
2237,Mark Arsten,West.andrew.g,1,1
2238,Ottawa4ever,West.andrew.g,1,1
2239,Fox Wilson,West.andrew.g,1,1
2240,Tyrol5,West.andrew.g,1,1
2241,Vacation9,West.andrew.g,1,1
2242,LuK3,West.andrew.g,1,1
2243,Go Phightins!,West.andrew.g,1,1
2244,Spencer,West.andrew.g,1,1
2245,Garamond Lethe,West.andrew.g,1,1
2246,Cmach7,West.andrew.g,1,1
2247,MJ94,West.andrew.g,1,1
2248,BDD,West.andrew.g,1,1
2249,Alanscottwalker,West.andrew.g,1,1
2250,Inka 888,West.andrew.g,1,1
2251,Secret,West.andrew.g,1,1
2252,99of9,West.andrew.g,1,1
2253,Wehwalt,West.andrew.g,1,1
2254,LlamaAl,West.andrew.g,1,1
2255,BuickCenturyDriver,West.andrew.g,1,1
2256,Ajraddatz,West.andrew.g,1,1
2257,INeverCry,West.andrew.g,1,1
2258,Ched,West.andrew.g,1,1
2259,Jusdafax,West.andrew.g,1,1
2260,Hahc21,West.andrew.g,1,1
2261,Tazerdadog,West.andrew.g,1,1
2262,Pratyya Ghosh,West.andrew.g,1,1
2263,Trusilver,West.andrew.g,1,1
2264,MrX,West.andrew.g,1,1
2265,The ed17,West.andrew.g,1,1
2266,Rockfang,West.andrew.g,1,1
2267,Jackson Peebles,West.andrew.g,1,1
2268,Graham87,West.andrew.g,1,1
2269,Widr,West.andrew.g,1,1
2270,Tony1,West.andrew.g,1,1
2271,Wifione,West.andrew.g,1,1
2272,The Devil's Advocate,West.andrew.g,1,1
2273,Anir1uph,West.andrew.g,1,1
2274,Kiefer.Wolfowitz,West.andrew.g,1,1
2275,Morning Sunshine,West.andrew.g,1,1
2276,Brookie,West.andrew.g,1,1
2277,Mediran,West.andrew.g,1,1
2278,Mr. Stradivarius,West.andrew.g,1,1
2279,Strike Eagle,West.andrew.g,1,1
2280,Ritchie333,West.andrew.g,1,1
2281,Carrite,West.andrew.g,1,1
2282,Clarkcj12,West.andrew.g,1,1
2283,Torreslfchero,West.andrew.g,1,1
2284,Miniapolis,West.andrew.g,1,1
2285,Milowent,West.andrew.g,1,1
2286,Guðsþegn,West.andrew.g,1,1
2287,Adjwilley,West.andrew.g,1,1
2288,Rogerd,West.andrew.g,1,1
2289,Kilopi,West.andrew.g,1,1
2290,The Illusive Man,West.andrew.g,1,1
2291,WereSpielChequers,West.andrew.g,1,1
2292,Scottywong,West.andrew.g,1,1
2293,Chick Bowen,West.andrew.g,1,1
2294,King of Hearts,West.andrew.g,1,1
2295,AutomaticStrikeout,West.andrew.g,1,1
2296,Ktr101,West.andrew.g,1,1
2297,Webclient101,West.andrew.g,1,1
2298,Lawrencekhoo,West.andrew.g,1,1
2299,Crisco 1492,West.andrew.g,1,1
2300,Boing! said Zebedee,West.andrew.g,1,1
2301,Philosopher,West.andrew.g,1,1
2302,filelakeshoe,West.andrew.g,1,1
2303,Nyttend,West.andrew.g,1,1
2304,Amorymeltzer,West.andrew.g,1,1
2305,Rzuwig,West.andrew.g,1,1
2306,,West.andrew.g,1,1
2307,Stalwart111,West.andrew.g,1,1
2308,Kurtis,West.andrew.g,1,1
2309,Keilana,West.andrew.g,1,1
2310,DCI2026,West.andrew.g,1,1
2311,Closedmouth,West.andrew.g,1,1
2312,A7x,West.andrew.g,1,1
2313,Staberinde,West.andrew.g,1,1
2314,Dennis Brown,West.andrew.g,1,1
2315,Wizardman,West.andrew.g,1,1
2316,Cncmaster,West.andrew.g,1,1
2317,Brambleberry of RiverClan,West.andrew.g,1,1
2318,KillerChihuahua,West.andrew.g,1,1
2319,Jebus989,West.andrew.g,1,1
2320,TCO,West.andrew.g,1,1
2321,Stfg,West.andrew.g,1,1
2322,Malinaccier,West.andrew.g,1,1
2323,NativeForeigner,West.andrew.g,1,1
2324,Tryptofish,West.andrew.g,1,1
2325,PaleAqua,West.andrew.g,1,1
2326,Jmh649,West.andrew.g,1,1
2327,Joe Decker,West.andrew.g,1,1
2328,QuiteUnusual,West.andrew.g,1,1
2329,Sparklism,West.andrew.g,1,1
2330,Anthonyhcole,West.andrew.g,1,1
2331,Johnuniq,West.andrew.g,1,1
2332,J36miles,West.andrew.g,1,1
2333,Yunshui,West.andrew.g,1,1
2334,Hu12,West.andrew.g,1,1
2335,Gilderien,West.andrew.g,1,1
2336,Tucoxn,West.andrew.g,1,1
2337,James086,West.andrew.g,1,1
2338,Malcolmxl5,West.andrew.g,1,1
2339,Pdcook,West.andrew.g,1,1
2340,Shirik,West.andrew.g,-1,1
2341,Leaky caldron,West.andrew.g,-1,1
2342,Fluffernutter,West.andrew.g,-1,1
2343,gwickwire,West.andrew.g,-1,1
2344,Inks.LWC,West.andrew.g,-1,1
2345,My76Strat,West.andrew.g,-1,1
2346,Intothatdarkness,West.andrew.g,-1,1
2347,Nathan Johnson,West.andrew.g,-1,1
2348,Dlohcierekim,West.andrew.g,-1,1
2349,Drmies,West.andrew.g,-1,1
2350,RegentsPark,West.andrew.g,0,1
2351,IComputerSaysNo,West.andrew.g,0,1
2352,Tom Morris,West.andrew.g,0,1
2353,Someguy1221,West.andrew.g,0,1
2354,RayAYang,West.andrew.g,0,1
2355,Axl,West.andrew.g,0,1
2356,Russavia,Ymblanter,1,1
2357,Binksternet,Ymblanter,1,1
2358,Legoktm,Ymblanter,1,1
2359,Stefan2,Ymblanter,1,1
2360,Rschen7754,Ymblanter,1,1
2361,Jebus989,Ymblanter,1,1
2362,Dennis Brown,Ymblanter,1,1
